,1. open,2. high,3. low,4. close,5. volume
1999-12-31,103.3,103.4,90.13,93.25,71283600.0
2000-01-31,93.13,96.94,80.5,86.06,76758100.0
2000-02-29,85.44,86.31,70.06,72.0,93261000.0
2000-03-31,72.25,82.25,66.13,70.25,139902700.0
2000-04-28,70.63,84.44,70.0,82.5,85393700.0
2000-05-31,82.25,90.0,81.88,89.5,60104100.0
2000-06-30,89.25,102.0,82.5,101.9,74942800.0
2000-07-31,101.3,101.4,90.25,93.06,67023900.0
2000-08-31,92.5,98.88,91.25,91.96,50177300.0
2000-09-29,92.5,97.81,90.31,93.94,48267500.0
2000-10-31,94.19,97.5,90.31,92.13,71004700.0
2000-11-30,92.0,103.0,89.19,100.0,69216000.0
2000-12-29,99.25,105.9,95.25,105.1,69949800.0
2001-01-31,104.0,104.7,90.38,93.13,84223300.0
2001-02-28,93.13,98.25,93.13,97.33,58485900.0
2001-03-30,97.8,99.85,80.5,87.47,147648000.0
2001-04-30,87.5,96.7,85.19,96.48,104800400.0
2001-05-31,96.6,102.0,95.82,96.95,92320700.0
2001-06-29,96.96,103.5,49.13,49.96,150360550.0
2001-07-31,50.1,54.98,50.0,54.1,164167000.0
2001-08-31,54.1,57.6,52.3,52.71,163136000.0
2001-09-28,55.75,57.16,50.2,55.4,176432200.0
2001-10-31,55.4,59.66,53.05,57.91,181677000.0
2001-11-30,57.58,60.97,57.51,58.25,144831900.0
2001-12-31,58.74,60.18,55.42,59.1,169195500.0
2002-01-31,58.9,60.1,56.6,57.51,131885400.0
2002-02-28,58.33,60.97,54.7,60.9,131715000.0
2002-03-28,60.9,65.89,60.6,64.95,154776300.0
2002-04-30,65.29,65.29,61.78,63.86,160057900.0
2002-05-31,63.97,64.63,59.16,61.35,162571200.0
2002-06-28,61.1,61.74,52.0,52.26,185599200.0
2002-07-31,51.7,54.85,41.02,53.0,343494700.0
2002-08-30,53.0,56.5,49.75,54.31,159253500.0
2002-09-30,53.88,56.25,51.45,54.08,146893100.0
2002-10-31,54.95,61.3,54.3,58.75,223245600.0
2002-11-29,58.33,61.25,56.3,57.02,134767300.0
2002-12-31,56.59,57.07,53.0,53.71,143258800.0
2003-01-31,54.25,57.55,51.54,53.61,157116600.0
2003-02-28,53.5,53.95,49.1,52.45,139008100.0
2003-03-31,53.16,58.68,51.5,57.87,160153900.0
2003-04-30,57.87,59.08,53.95,56.36,159363100.0
2003-05-30,56.36,57.52,52.55,54.35,161675800.0
2003-06-30,54.35,55.57,50.75,51.7,216949500.0
2003-07-31,51.7,54.24,50.55,51.79,180959900.0
2003-08-29,50.95,52.25,49.0,49.58,154672000.0
2003-09-30,49.78,52.5,49.09,49.52,197900400.0
2003-10-31,49.71,51.15,48.05,50.33,200619900.0
2003-11-28,50.08,52.89,48.26,49.3,164719400.0
2003-12-31,50.3,51.74,48.79,51.66,185895500.0
2004-01-30,51.66,54.04,50.43,53.42,172050600.0
2004-02-27,53.41,54.9,52.79,53.91,126994200.0
2004-03-31,54.49,54.49,49.25,50.72,172924700.0
2004-04-30,51.05,54.77,49.9,54.03,166843100.0
2004-05-28,54.22,56.39,54.02,55.71,140688600.0
2004-06-30,55.23,57.28,54.5,55.7,125332400.0
2004-07-30,55.35,58.14,54.43,55.27,141900800.0
2004-08-31,55.0,58.1,54.37,58.1,107083900.0
2004-09-30,58.0,58.8,56.09,56.33,110410900.0
2004-10-29,56.39,58.48,54.81,58.38,139893100.0
2004-11-30,58.35,61.49,57.81,60.32,123981200.0
2004-12-31,60.33,64.25,59.6,63.42,173950700.0
