,1. open,2. high,3. low,4. close,5. volume
2006-05-31,141.0,152.5,121.68,126.28,19970500.0
2006-06-30,118.5,123.8,95.49,111.39,12738900.0
2006-07-31,113.19,126.3,104.7,114.15,6669300.0
2006-08-31,114.14,129.17,114.0,129.08,7008300.0
2006-09-29,128.25,132.2499,104.6138,114.51,9874200.0
2006-10-31,116.3,122.7,105.41,122.68,7559000.0
2006-11-30,124.83,139.68,122.89,139.68,9095400.0
2006-12-29,139.35,141.7,122.59,128.64,11550000.0
2007-01-31,129.96,139.66,120.05,135.16,7952600.0
2007-02-28,136.99,147.0,131.48,141.25,8067805.0
2007-03-30,141.3,141.5,123.56,133.52,12022100.0
2007-04-30,131.0,141.0,129.21,133.35,9489600.0
2007-05-31,131.88,135.35,126.18,133.83,8574200.0
2007-06-29,135.11,137.37,120.87,123.5,10254700.0
2007-07-31,124.96,137.55,123.5,128.02,6851600.0
2007-08-31,128.66,131.19,110.0,119.98,9385000.0
2007-09-28,120.12,137.719,119.65,136.55,8176200.0
2007-10-31,136.1,144.44,129.68,143.6,8700700.0
2007-11-30,140.19,157.2,137.0,139.0,15059621.0
2007-12-31,139.45,147.65,135.88,146.97,6294753.0
2008-01-31,148.56,169.04,148.56,168.18,15610700.0
2008-02-29,170.29,197.19,161.1,196.68,16111600.0
2008-03-31,199.81,207.3,165.14,170.41,34404309.0
2008-04-30,164.57,183.9,161.71,167.2,21492776.0
2008-05-30,162.19,181.13,158.4,166.73,17367920.0
2008-06-30,164.82,174.929,161.35,172.63,13332855.0
2008-07-31,177.32,191.69,16.63,17.53,36651427.0
2008-08-29,17.26,17.546,12.61,13.37,142521471.0
2008-09-30,12.46,13.62,10.15,11.85,215339245.0
2008-10-31,12.16,12.83,8.45,9.58,173017616.0
2008-11-28,9.71,10.67,8.69,10.23,81620232.0
2008-12-31,9.27,11.48,9.02,11.2,108927169.0
2009-01-30,11.07,12.53,10.2,12.52,169141491.0
2009-02-27,12.28,14.45,12.02,12.88,273049688.0
2009-03-31,12.99,13.73,11.75,12.79,267259179.0
2009-04-30,12.92,13.0,11.64,12.21,147307609.0
2009-05-29,12.14,15.48,12.1,15.47,176333035.0
2009-06-30,15.59,15.78,13.27,13.38,238790017.0
2009-07-31,13.58,13.88,12.27,13.7,153800147.0
2009-08-31,14.17,14.8,13.33,14.62,158943587.0
2009-09-30,14.57,17.26,14.45,16.38,245954158.0
2009-10-30,16.39,17.64,15.78,16.07,223374281.0
2009-11-30,16.18,18.61,16.0,18.15,264439218.0
2009-12-31,18.51,19.11,16.45,16.539,290068745.0
2010-01-29,17.05,18.45,15.7,15.9,263771621.0
