,1. open,2. high,3. low,4. close,5. volume
1999-12-31,51.38,56.38,48.94,53.12,14527800.0
2000-01-31,53.12,62.81,52.25,53.0,22665900.0
2000-02-29,53.5,64.69,50.5,51.12,27691400.0
2000-03-31,51.12,59.69,46.38,59.62,19858900.0
2000-04-28,59.38,69.75,57.75,66.69,17872700.0
2000-05-31,66.06,79.25,60.25,74.56,31251500.0
2000-06-30,74.44,89.0,72.5,85.75,24308200.0
2000-07-31,85.44,91.94,78.12,81.81,21970800.0
2000-08-31,81.31,95.88,81.31,94.52,18581700.0
2000-09-29,95.0,101.12,89.69,98.75,17756100.0
2000-10-31,99.0,117.0,97.25,109.38,30064200.0
2000-11-30,109.44,120.44,104.25,117.31,30533700.0
2000-12-29,117.19,122.5,59.0,61.38,22835550.0
2001-01-31,61.5,62.19,50.5,56.41,46295900.0
2001-02-28,56.8,64.36,52.97,59.23,42721600.0
2001-03-30,60.0,62.0,50.55,59.26,45245200.0
2001-04-30,59.26,67.4,56.5,65.48,46053000.0
2001-05-31,64.55,66.3,52.5,57.5,71801900.0
2001-06-29,57.25,63.49,55.5,61.75,38451600.0
2001-07-31,61.98,68.0,61.0,67.42,33787400.0
2001-08-31,66.0,70.0,62.75,68.06,31402200.0
2001-09-28,68.06,69.0,58.8,66.5,39151200.0
2001-10-31,66.52,69.74,65.51,65.75,43365600.0
2001-11-30,66.45,72.2,62.42,71.45,37940500.0
2001-12-31,70.53,72.8,67.81,70.77,33339300.0
2002-01-31,70.0,74.8,68.52,74.35,34469900.0
2002-02-28,75.0,75.75,71.8,72.49,28726700.0
2002-03-28,72.6,76.8,67.85,76.42,37240300.0
2002-04-30,76.15,89.68,75.13,87.81,49867000.0
2002-05-31,88.9,91.74,85.5,90.8,41191500.0
2002-06-28,90.0,97.89,87.6,91.55,53209900.0
2002-07-31,92.8,96.3,81.48,87.66,76035900.0
2002-08-30,87.35,92.75,82.05,88.35,41247700.0
2002-09-30,87.97,93.41,84.03,87.22,39212400.0
2002-10-31,87.55,101.0,87.2,90.95,63538000.0
2002-11-29,90.95,96.1,75.04,81.45,84458400.0
2002-12-31,81.85,84.72,76.27,83.5,49223300.0
2003-01-31,83.51,87.91,81.0,87.9,47625600.0
2003-02-28,87.91,88.75,78.4,82.9,46075300.0
2003-03-31,83.3,92.69,82.19,91.67,41573700.0
2003-04-30,91.67,95.11,88.2,92.13,56325800.0
2003-05-30,92.13,98.22,89.45,95.94,42374800.0
2003-06-30,96.07,105.34,49.25,50.25,47336150.0
2003-07-31,50.25,56.25,47.25,52.09,75908300.0
2003-08-29,52.1,53.4,47.51,49.43,59986200.0
2003-09-30,49.5,50.98,47.9,50.32,51873400.0
2003-10-31,50.32,55.64,49.5,50.88,75092800.0
2003-11-28,51.3,54.9,47.58,53.9,64287900.0
2003-12-31,54.05,58.67,52.55,58.18,48307000.0
2004-01-30,59.05,61.0,55.45,60.88,59291000.0
2004-02-27,60.81,62.3,58.12,62.0,57455400.0
2004-03-31,62.0,64.5,60.6,64.44,56664300.0
2004-04-30,64.35,68.5,61.0,61.48,78699900.0
2004-05-28,61.5,65.32,58.61,65.25,70882200.0
2004-06-30,65.5,66.0,60.3,62.25,58370600.0
2004-07-30,61.3,66.1,59.34,62.9,90845700.0
2004-08-31,62.11,66.16,60.71,66.13,49709900.0
2004-09-30,65.98,74.75,65.85,73.74,55955500.0
2004-10-29,74.1,75.19,64.61,72.4,107596700.0
2004-11-30,72.2,84.35,71.58,82.85,69391900.0
2004-12-31,82.0,88.76,79.26,88.03,64300000.0
2005-01-31,87.2,89.94,85.25,88.9,57389200.0
2005-02-28,88.95,91.89,86.65,91.16,50343000.0
2005-03-31,90.69,96.65,89.2,95.38,54591500.0
2005-04-29,95.75,99.75,88.6,94.51,80478700.0
2005-05-31,94.06,99.15,48.5,48.58,65048650.0
2005-06-30,48.7,53.64,48.51,52.14,107510900.0
2005-07-29,53.0,54.5,47.75,52.3,157451800.0
2005-08-31,52.34,53.38,50.09,51.5,90521300.0
2005-09-30,51.5,56.66,50.5844,56.2,111785700.0
2005-10-31,56.21,58.4,53.84,57.89,118202500.0
2005-11-30,58.12,61.65,57.1,59.86,119218600.0
2005-12-30,60.42,64.61,60.36,62.14,115006400.0
2006-01-31,62.6,62.93,57.12,59.42,156880900.0
2006-02-28,59.3,59.89,55.25,58.23,99779000.0
2006-03-31,58.05,58.46,53.2,55.86,163508300.0
2006-04-28,56.23,56.6,46.56,49.74,293812400.0
2006-05-31,49.75,50.22,41.44,43.96,346572100.0
2006-06-30,44.14,47.37,42.9,44.78,146019700.0
2006-07-31,44.85,51.94,44.29,47.83,156986800.0
2006-08-31,47.5,52.08,46.5,51.95,104044700.0
2006-09-29,51.95,52.84,47.91,49.2,94159600.0
2006-10-31,49.11,52.61,46.61,48.78,200568400.0
2006-11-30,49.34,50.0,45.12,49.08,171779800.0
2006-12-29,49.44,54.46,48.485,53.73,136069000.0
2007-01-31,53.8,56.29,50.76,52.26,133529600.0
2007-02-28,52.27,54.95,50.51,52.18,110885100.0
2007-03-30,51.99,57.1,51.24,52.97,230468300.0
2007-04-30,53.4,55.9,51.25,53.06,193938900.0
2007-05-31,52.92,55.32,52.0,54.77,146371700.0
2007-06-29,54.94,55.47,50.7,51.14,133693700.0
2007-07-31,51.59,54.1,48.13,48.43,174827500.0
2007-08-31,48.24,50.47,45.82,50.01,203350500.0
2007-09-28,50.11,50.75,48.0,48.43,139846900.0
2007-10-31,48.87,49.98,46.59,49.15,195434000.0
2007-11-30,48.82,55.0,48.12,55.0,170775100.0
2007-12-31,54.57,59.46,53.9,58.2,146016500.0
2008-01-31,57.19,57.86,48.12,50.84,191989500.0
2008-02-29,50.36,51.03,44.0,46.48,156703700.0
2008-03-31,46.47,47.37,33.57,34.36,293239400.0
2008-04-30,34.84,38.33,32.5,32.63,226787000.0
2008-05-30,32.9,35.77,31.49,34.21,257294200.0
2008-06-30,34.22,34.42,25.5,26.25,309936900.0
2008-07-31,26.12,28.97,21.2,28.08,357437500.0
2008-08-29,27.99,33.49,27.44,30.45,174608600.0
2008-09-30,30.49,31.385,21.0,25.39,203281600.0
2008-10-31,25.97,25.99,14.51,23.73,305228000.0
2008-11-28,23.68,24.49,15.19,21.01,196076300.0
2008-12-31,21.67,27.31,19.05,26.6,182675600.0
2009-01-30,26.7,30.25,23.772,28.33,197849000.0
2009-02-27,28.0,30.25,19.42,19.65,289614500.0
2009-03-31,19.19,22.89,16.18,20.93,343674000.0
2009-04-30,20.61,26.1,19.85,23.52,289077700.0
2009-05-29,23.56,29.69,22.74,26.6,205106600.0
2009-06-30,26.9,28.43,23.23,24.98,278463500.0
2009-07-31,25.09,29.71,23.69,28.06,234371800.0
2009-08-31,28.34,30.0,25.42,28.0,193463900.0
