,1. open,2. high,3. low,4. close,5. volume
2008-04-30,63.0,84.81,60.31,83.45,346330900.0
2008-05-30,84.68,89.84,74.36,86.36,388428400.0
2008-06-30,86.21,88.1,77.6,81.31,255456900.0
2008-07-31,79.2,82.4,66.51,73.06,333151100.0
2008-08-29,73.3,76.53,69.11,75.9,158540800.0
2008-09-30,76.83,77.5,55.89,61.39,254818400.0
2008-10-31,60.75,62.11,43.74,55.35,302537300.0
2008-11-28,55.35,60.45,43.54,52.56,191852000.0
2008-12-31,51.0,57.67,47.53,52.45,141021400.0
2009-01-30,52.92,57.98,41.78,49.35,160611600.0
2009-02-27,48.25,57.95,47.54,56.71,186385800.0
2009-03-31,55.93,56.97,48.74,55.6,231948800.0
2009-04-30,54.75,68.0,53.63,64.96,222924500.0
2009-05-29,64.15,68.56,62.64,67.71,198672200.0
2009-06-30,68.5,71.24,60.27,62.26,193053500.0
2009-07-31,62.28,69.68,58.0,65.46,153747700.0
2009-08-31,66.19,71.32,65.9,71.1,93978700.0
2009-09-30,70.78,74.99,68.61,69.11,99051700.0
2009-10-30,68.77,78.2,66.5452,75.76,159370800.0
2009-11-30,76.09,81.97,75.8,81.0,90154700.0
2009-12-31,81.44,89.69,78.71,87.46,204952500.0
2010-01-29,88.0,88.77,80.61,82.03,87018500.0
2010-02-26,82.29,87.76,80.54,85.28,99527800.0
2010-03-31,85.5,93.63,85.28,91.03,117882000.0
2010-04-30,91.68,97.192,90.02,90.23,82607100.0
2010-05-28,90.55,91.27,68.29,72.46,329707000.0
2010-06-30,72.49,83.79,70.02,70.75,197268700.0
2010-07-30,71.0,77.8,70.11,73.35,117947400.0
2010-08-31,70.98,75.73,68.01,68.98,125363400.0
2010-09-30,69.83,74.97,64.9,74.26,158973300.0
2010-10-29,74.74,80.88,72.581,78.16,102407400.0
2010-11-30,78.58,80.47,72.92,73.85,79270200.0
2010-12-31,74.94,81.75,66.5,70.38,220235300.0
2011-01-31,70.4,73.55,67.51,69.85,139509300.0
2011-02-28,70.21,77.08,70.21,73.05,114333300.0
2011-03-31,73.87,75.94,70.45,73.62,132083000.0
2011-04-29,73.99,79.0,73.2615,78.12,80182500.0
2011-05-31,78.46,81.3,76.6,81.06,99881900.0
2011-06-30,80.76,87.36,73.11,84.26,196557500.0
2011-07-29,84.1,90.83,83.6,85.54,113194800.0
2011-08-31,87.0,88.85,76.11,87.88,160948700.0
2011-09-30,87.72,94.75,83.25,85.72,120505600.0
2011-10-31,84.97,95.87,81.71,93.26,104767000.0
2011-11-30,91.16,97.03,88.78,96.97,84173500.0
2011-12-30,95.92,103.45,95.05,101.53,78358900.0
2012-01-31,103.4,104.2,98.33,100.64,76346100.0
2012-02-29,101.18,119.36,100.6025,116.37,89913900.0
2012-03-30,117.45,120.696,113.54,118.0,62867300.0
2012-04-30,118.0,124.21,116.48,122.98,62665100.0
2012-05-31,123.47,125.35,112.5,115.2,100344000.0
2012-06-29,113.64,124.95,111.9401,123.63,73804200.0
2012-07-31,124.26,132.35,119.1,129.07,73691000.0
2012-08-31,128.5,132.58,125.81,128.25,54565800.0
2012-09-28,128.36,136.65,126.95,134.28,63213900.0
2012-10-31,134.87,143.1,134.87,138.76,57055600.0
2012-11-30,140.82,149.93,138.53,149.71,62366800.0
